Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
5/30/2018,AQS,371010002,1,0.026,ppm,24,West Johnston Co.,17,100,44201,Ozone,47,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
5/31/2018,AQS,371010002,1,0.026,ppm,24,West Johnston Co.,17,100,44201,Ozone,47,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
6/1/2018,AQS,371010002,1,0.051,ppm,47,West Johnston Co.,17,100,44201,Ozone,47,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
6/2/2018,AQS,371010002,1,0.046,ppm,43,West Johnston Co.,17,100,44201,Ozone,47,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
6/3/2018,AQS,371010002,1,0.044,ppm,41,West Johnston Co.,17,100,44201,Ozone,47,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
6/4/2018,AQS,371010002,1,0.062,ppm,74,West Johnston Co.,17,100,44201,Ozone,47,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
6/5/2018,AQS,371010002,1,0.056,ppm,54,West Johnston Co.,17,100,44201,Ozone,47,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
6/6/2018,AQS,371010002,1,0.067,ppm,90,West Johnston Co.,17,100,44201,Ozone,47,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
6/7/2018,AQS,371010002,1,0.056,ppm,54,West Johnston Co.,17,100,44201,Ozone,47,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
6/8/2018,AQS,371010002,1,0.057,ppm,58,West Johnston Co.,17,100,44201,Ozone,47,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
6/9/2018,AQS,371010002,1,0.047,ppm,44,West Johnston Co.,17,100,44201,Ozone,47,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
6/10/2018,AQS,371010002,1,0.044,ppm,41,West Johnston Co.,17,100,44201,Ozone,47,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
6/11/2018,AQS,371010002,1,0.044,ppm,41,West Johnston Co.,17,100,44201,Ozone,47,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
6/12/2018,AQS,371010002,1,0.031,ppm,29,West Johnston Co.,17,100,44201,Ozone,47,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
6/13/2018,AQS,371010002,1,0.04,ppm,37,West Johnston Co.,17,100,44201,Ozone,47,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
6/14/2018,AQS,371010002,1,0.052,ppm,48,West Johnston Co.,17,100,44201,Ozone,47,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
6/15/2018,AQS,371010002,1,0.06,ppm,67,West Johnston Co.,17,100,44201,Ozone,47,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
6/16/2018,AQS,371010002,1,0.056,ppm,54,West Johnston Co.,17,100,44201,Ozone,47,39580,"Raleigh, NC",37,North Carolina,101,Johnston,35.59095,-78.4622
